DATE|S&P500D|TBILL|GM|GE|rm -rf|ge - rf
jul-70|0,0754953900|0,0051168470|0,0945670000|0,1388890000|0,0703785430|0,1337721530
ago-70|0,0504538200|0,0051081804|0,0970590000|0,0211380000|0,0453456396|0,0160298196
sep-70|0,0349671000|0,0048082821|-0,0220340000|0,0831210000|0,0301588179|0,0783127179
oct-70|-0,0085470940|0,0048153963|-0,0242630000|0,0192590000|-0,0133624903|0,0144436037
nov-70|0,0533294100|0,0040486199|0,1008880000|0,0276160000|0,0492807901|0,0235673801
dic-70|0,0580809300|0,0040039710|0,0505710000|0,0695900000|0,0540769590|0,0655860290
ene-71|0,0416989800|0,0034295642|0,0201860000|0,0572570000|0,0382694158|0,0538274358
feb-71|0,0138122400|0,0028151666|-0,0140030000|0,0894210000|0,0109970734|0,0866058334
mar-71|0,0385506100|0,0028321322|0,0234010000|0,0418500000|0,0357184778|0,0390178678
abr-71|0,0371528400|0,0032488153|0,0838410000|0,0970980000|0,0339040247|0,0938491847
may-71|-0,0368686700|0,0035771109|-0,0579470000|-0,0244150000|-0,0404457809|-0,0279921109
jun-71|0,0019736210|0,0043025435|-0,0452490000|0,0193950000|-0,0023289225|0,0150924565
jul-71|-0,0403902100|0,0043597579|-0,0300160000|-0,1213990000|-0,0447499679|-0,1257587579
ago-71|0,0412681100|0,0036644039|0,0925080000|0,1615920000|0,0376037061|0,1579275961
sep-71|-0,0052399950|0,0037787993|-0,0030120000|-0,0024190000|-0,0090187943|-0,0061977993
oct-71|-0,0400122100|0,0035482619|-0,0589120000|-0,0528460000|-0,0435604719|-0,0563942619
nov-71|0,0023413820|0,0035242140|0,0125200000|0,0257510000|-0,0011828320|0,0222267860
dic-71|0,0874105600|0,0030548150|0,0320510000|0,0539750000|0,0843557450|0,0509201850
ene-72|0,0192932100|0,0027408042|0,0062110000|-0,0099800000|0,0165524058|-0,0127208042
feb-72|0,0302233200|0,0027577835|-0,0126540000|-0,0221770000|0,0274655365|-0,0249347835
mar-72|0,0068854190|0,0031208697|0,0647710000|0,0717530000|0,0037645493|0,0686321303
abr-72|0,0054914100|0,0029564498|-0,0459940000|0,0464220000|0,0025349602|0,0434655502
may-72|0,0226597600|0,0031458292|-0,0423020000|0,0166360000|0,0195139308|0,0134901708
jun-72|-0,0203471700|0,0033348161|-0,0131800000|-0,0385450000|-0,0236819861|-0,0418798161
jul-72|0,0035877370|0,0031208697|-0,0050080000|-0,0418250000|0,0004668673|-0,0449458697
ago-72|0,0390739700|0,0037580108|0,0684560000|0,0555560000|0,0353159592|0,0517979892
sep-72|-0,0033405020|0,0037700048|-0,0015870000|0,0033830000|-0,0071105068|-0,0003870048
oct-72|0,0107380200|0,0038850666|-0,0492850000|-0,0376650000|0,0068529534|-0,0415500666
nov-72|0,0504737400|0,0040326764|0,1073580000|0,0681020000|0,0464410636|0,0640693236
dic-72|0,0136749500|0,0042047193|0,0000000000|0,0736650000|0,0094702307|0,0694602807
ene-73|-0,0167269600|0,0046856719|-0,0477660000|-0,0394510000|-0,0214126319|-0,0441366719
feb-73|-0,0336220400|0,0048240908|-0,0375400000|-0,0396430000|-0,0384461308|-0,0444670908
mar-73|-0,0005782457|0,0052624809|-0,0170070000|-0,0355140000|-0,0058407266|-0,0407764809
abr-73|-0,0396900300|0,0051168470|-0,0121110000|-0,0813950000|-0,0448068770|-0,0865118470
may-73|-0,0139404400|0,0056909493|-0,0444830000|0,0042190000|-0,0196313893|-0,0014719493
jun-73|-0,0050837630|0,0061423521|-0,0074630000|-0,0298320000|-0,0112261151|-0,0359743521
jul-73|0,0394189600|0,0068106667|0,0169170000|0,0936820000|0,0326082933|0,0868713333
ago-73|-0,0315370300|0,0070724677|-0,0354900000|-0,0577690000|-0,0386094977|-0,0648414677
sep-73|0,0415788400|0,0057308687|0,0407770000|0,0723040000|0,0358479713|0,0665731313
oct-73|0,0002761459|0,0060386798|-0,0690300000|0,0376980000|-0,0057625339|0,0316593202
nov-73|-0,1078789000|0,0059887504|-0,1807620000|-0,0282980000|-0,1138676504|-0,0342867504
dic-73|0,0183799600|0,0061205361|-0,0538460000|-0,0019800000|0,0122594239|-0,0081005361
ene-74|-0,0083498320|0,0061423521|0,1219510000|-0,0496030000|-0,0144921841|-0,0557453521
feb-74|0,0019851430|0,0061181984|-0,0077290000|-0,0475990000|-0,0041330554|-0,0537171984
mar-74|-0,0218193800|0,0067804999|-0,0148510000|-0,0419430000|-0,0285998799|-0,0487234999
abr-74|-0,0374496700|0,0072742920|-0,0326630000|-0,0599080000|-0,0447239620|-0,0671822920
may-74|-0,0270851600|0,0066163422|0,0566230000|-0,0539220000|-0,0337015022|-0,0605383422
jun-74|-0,0128178300|0,0060215196|-0,0275000000|0,0290160000|-0,0188393496|0,0229944804
jul-74|-0,0760799700|0,0062879184|-0,1542420000|-0,1269040000|-0,0823678884|-0,1331919184
ago-74|-0,0821851700|0,0072889108|-0,0036470000|-0,1191860000|-0,0894740808|-0,1264749108
sep-74|-0,1173824000|0,0052396671|-0,1121490000|-0,1643560000|-0,1226220671|-0,1695956671
oct-74|0,1675748000|0,0063920857|-0,0561400000|0,2240000000|0,1611827143|0,2176079143
nov-74|-0,0454554500|0,0061259906|-0,0676580000|-0,0294120000|-0,0515814406|-0,0355379906
dic-74|-0,0180022800|0,0057973624|0,0081970000|-0,0902360000|-0,0237996424|-0,0960333624
ene-75|0,1244950000|0,0046769642|0,2520320000|0,1573030000|0,1198180358|0,1526260358
feb-75|0,0679331700|0,0044486868|0,0285710000|0,1527510000|0,0634844832|0,1483023132
mar-75|0,0236377800|0,0045803330|0,0544870000|0,0424930000|0,0190574470|0,0379126670
abr-75|0,0492359300|0,0045311862|0,0455930000|0,0000000000|0,0447047438|-0,0045311862
may-75|0,0510234800|0,0042858493|0,0372090000|-0,0135870000|0,0467376307|-0,0178728493
jun-75|0,0467336200|0,0049307279|0,1079550000|0,1685950000|0,0418028921|0,1636642721
jul-75|-0,0658217300|0,0051404791|0,0538460000|-0,1021380000|-0,0709622091|-0,1072784791
ago-75|-0,0152238200|0,0052380935|-0,0296840000|-0,0211640000|-0,0204619135|-0,0264020935
sep-75|-0,0322659200|0,0054173065|0,0152280000|-0,0400000000|-0,0376832265|-0,0454173065
oct-75|0,0650737700|0,0046452931|0,1075000000|0,0937500000|0,0604284769|0,0891047069
nov-75|0,0301572800|0,0045708228|0,0379230000|0,0025970000|0,0255864572|-0,0019738228
dic-75|-0,0096822950|0,0043025435|0,0131870000|-0,0357510000|-0,0139848385|-0,0400535435
ene-76|0,1196829000|0,0039098178|0,1041210000|0,2140920000|0,1157730822|0,2101821822
feb-76|-0,0063119010|0,0041386486|0,0447940000|-0,0468750000|-0,0104505496|-0,0510136486
mar-76|0,0331205300|0,0041147558|0,0645160000|-0,0088990000|0,0290057742|-0,0130137558
abr-76|-0,0095833460|0,0040645607|0,0124780000|0,0238100000|-0,0136479067|0,0197454393
may-76|-0,0075973180|0,0045383220|-0,0179580000|-0,0534880000|-0,0121356400|-0,0580263220
jun-76|0,0433378100|0,0044415439|-0,0018210000|0,1307120000|0,0388962661|0,1262704561
jul-76|-0,0071039690|0,0042858493|-0,0036500000|-0,0459520000|-0,0113898183|-0,0502378493
ago-76|0,0017027490|0,0042293841|0,0069600000|-0,0275230000|-0,0025266351|-0,0317523841
sep-76|0,0243813500|0,0041959657|0,0810310000|0,0297170000|0,0201853843|0,0255210343
oct-76|-0,0201793100|0,0040565906|0,0068140000|-0,0138570000|-0,0242359006|-0,0179135906
nov-76|-0,0005099331|0,0036724082|0,0067680000|-0,0515220000|-0,0041823413|-0,0551944082
dic-76|0,0540898700|0,0035979407|0,0998250000|0,1076540000|0,0504919293|0,1040560593
ene-77|-0,0491484200|0,0039593003|-0,0493630000|-0,0494380000|-0,0531077203|-0,0533973003
feb-77|-0,0153218900|0,0039098178|-0,0405360000|-0,0449170000|-0,0192317078|-0,0488268178
mar-77|-0,0124385400|0,0037620090|-0,0565370000|-0,0183170000|-0,0162005490|-0,0220790090
abr-77|0,0013377220|0,0038850666|0,0243450000|0,0966920000|-0,0025473446|0,0928069334
may-77|-0,0150270700|0,0041641273|0,0014630000|0,0069610000|-0,0191911973|0,0027968727
jun-77|0,0475397800|0,0041306850|0,0412760000|0,0516130000|0,0434090950|0,0474823150
jul-77|-0,0152719100|0,0044653513|-0,0180180000|-0,0376110000|-0,0197372613|-0,0420763513
ago-77|-0,0126977800|0,0046041043|0,0069720000|-0,0183910000|-0,0173018843|-0,0229951043
sep-77|-0,0001836255|0,0048722904|0,0424350000|-0,0295080000|-0,0050559159|-0,0343802904
oct-77|-0,0416852700|0,0050687763|-0,0477880000|-0,0219510000|-0,0467540463|-0,0270197763
nov-77|0,0365457300|0,0050191029|0,0000000000|0,0109730000|0,0315266271|0,0059538971
dic-77|0,0053516710|0,0050593168|-0,0175780000|-0,0049880000|0,0002923542|-0,0100473168
ene-78|-0,0601506400|0,0053112360|-0,0735590000|-0,0827070000|-0,0654618760|-0,0880182360
feb-78|-0,0159754500|0,0052955114|0,0193130000|-0,0218580000|-0,0212709614|-0,0271535114
mar-78|0,0271041200|0,0053426771|0,0535330000|0,0541900000|0,0217614429|0,0488473229
abr-78|0,0879428100|0,0051562304|0,0650410000|0,1206430000|0,0827865796|0,1154867696
may-78|0,0136794500|0,0054816745|-0,0458020000|0,0119620000|0,0081977755|0,0064803255
jun-78|-0,0160938900|0,0057793747|-0,0266390000|-0,0326240000|-0,0218732647|-0,0384033747
jul-78|0,0567734500|0,0056682423|0,0505260000|0,0618810000|0,0511052077|0,0562127577
ago-78|0,0336314100|0,0061992050|0,0140280000|0,0116550000|0,0274322050|0,0054557950
sep-78|-0,0046810280|0,0065519926|0,0140560000|-0,0133640000|-0,0112330206|-0,0199159926
oct-78|-0,0888905600|0,0071626503|-0,0732670000|-0,1016550000|-0,0960532103|-0,1088176503
nov-78|0,0260205900|0,0073765748|-0,0128210000|0,0057890000|0,0186440152|-0,0015875748
dic-78|0,0166698800|0,0075746629|-0,0271490000|0,0000000000|0,0090952171|-0,0075746629
ene-79|0,0427501500|0,0076007356|0,0488370000|0,0238730000|0,0351494144|0,0162722644
feb-79|-0,0281623800|0,0077279253|-0,0310420000|-0,0331610000|-0,0358903053|-0,0408889253
mar-79|0,0574043600|0,0077179710|0,0606060000|0,0434780000|0,0496863890|0,0357600290
abr-79|0,0042068000|0,0077700276|0,0263740000|0,0234380000|-0,0035632276|0,0156679724
may-79|-0,0164225000|0,0078304679|0,0175590000|0,0142490000|-0,0242529679|0,0064185321
jun-79|0,0407323200|0,0073281393|0,0281390000|0,0178120000|0,0334041807|0,0104838607
jul-79|0,0118018000|0,0075140535|-0,0252630000|0,0350000000|0,0042877465|0,0274859465
ago-79|0,0618654100|0,0080115500|0,0544280000|0,0289860000|0,0538538600|0,0209744500
sep-79|0,0022720980|0,0082653788|0,0438410000|-0,0338030000|-0,0059932808|-0,0420683788
oct-79|-0,0653731400|0,0098269189|-0,1160000000|-0,0467980000|-0,0752000589|-0,0566249189
nov-79|0,0524439300|0,0093068446|-0,0565610000|-0,0320410000|0,0431370854|-0,0413478446
dic-79|0,0180002700|0,0096786267|-0,0123460000|0,0975610000|0,0083216433|0,0878823733
ene-80|0,0609925100|0,0097393207|0,0975000000|0,0864200000|0,0512531893|0,0766806793
feb-80|0,0026249280|0,0112791419|-0,0564920000|-0,0736360000|-0,0086542139|-0,0849151419
mar-80|-0,0982391100|0,0120062395|-0,0888890000|-0,0422890000|-0,1102453495|-0,0542952395
abr-80|0,0429338500|0,0084577588|-0,0135500000|-0,0129870000|0,0344760912|-0,0214447588
may-80|0,0564048800|0,0063594491|-0,0032970000|0,0578950000|0,0500454309|0,0515355509
jun-80|0,0296303500|0,0065062226|0,0391060000|0,0404040000|0,0231241274|0,0338977774
jul-80|0,0673860200|0,0070570430|0,1263440000|0,0922330000|0,0603289770|0,0851759570
ago-80|0,0133848100|0,0081160632|0,0329360000|-0,0311110000|0,0052687468|-0,0392270632
sep-80|0,0280815400|0,0092963076|-0,0140190000|-0,0206420000|0,0187852324|-0,0299383076
oct-80|0,0188272700|0,0101809514|-0,0687200000|0,0285040000|0,0086463186|0,0183230486
nov-80|0,1088980000|0,0116496455|-0,0844780000|0,1431870000|0,0972483545|0,1315373545
dic-80|-0,0310188800|0,0115152899|0,0140850000|0,0020200000|-0,0425341699|-0,0094952899
ene-81|-0,0434663000|0,0117347092|0,0222220000|0,0000000000|-0,0552010092|-0,0117347092
feb-81|0,0211585900|0,0114564936|0,1027170000|0,0897960000|0,0097020964|0,0783395064
mar-81|0,0371508700|0,0100869746|0,0548630000|0,0149810000|0,0270638954|0,0048940254
abr-81|-0,0205243200|0,0119455624|0,0212770000|-0,0205220000|-0,0324698824|-0,0324675624
may-81|0,0061373430|0,0121274739|0,0412040000|0,0019050000|-0,0059901309|-0,0102224739
jun-81|-0,0084205280|0,0115020640|-0,0471910000|-0,0467680000|-0,0199225920|-0,0582700640
jul-81|0,0007971805|0,0119579935|-0,0306600000|-0,0141410000|-0,0111608130|-0,0260989935
ago-81|-0,0552910800|0,0124756808|-0,0856450000|-0,0840160000|-0,0677667608|-0,0964916808
sep-81|-0,0506710500|0,0116467108|-0,0377360000|-0,0035790000|-0,0623177608|-0,0152257108
oct-81|0,0530677200|0,0103157817|-0,1820730000|-0,0113900000|0,0427519383|-0,0217057817
nov-81|0,0439258700|0,0084205310|0,0301370000|0,1129030000|0,0355053390|0,1044824690
dic-81|-0,0272507700|0,0090007797|0,0405410000|-0,0364390000|-0,0362515497|-0,0454397797
ene-82|-0,0153751600|0,0101056285|-0,0129870000|0,0893250000|-0,0254807885|0,0792193715
feb-82|-0,0509480100|0,0096748789|-0,0105260000|0,0060000000|-0,0606228889|-0,0036748789
mar-82|-0,0059192610|0,0106545899|0,1081080000|0,0206760000|-0,0165738509|0,0100214101
abr-82|0,0420049700|0,0099488183|0,0182930000|0,0118340000|0,0320561517|0,0018851817
may-82|-0,0290688000|0,0093301722|0,0413170000|-0,0350880000|-0,0383989722|-0,0444181722
jun-82|-0,0164485800|0,0103269466|0,0408160000|0,0420200000|-0,0267755266|0,0316930534
jul-82|-0,0200675100|0,0082973433|-0,0420170000|0,0333990000|-0,0283648533|0,0251016567
ago-82|0,1266649000|0,0068910629|0,1456140000|0,1444870000|0,1197738371|0,1375959371
sep-82|0,0104985600|0,0062638031|-0,0361760000|0,0046510000|0,0042347569|-0,0016128031
oct-82|0,1135540000|0,0064798362|0,2171580000|0,1488290000|0,1070741638|0,1423491638
nov-82|0,0454684000|0,0067866888|0,0656390000|0,0870450000|0,0386817112|0,0802583112
dic-82|0,0169372300|0,0064961346|0,0417540000|0,0256760000|0,0104410954|0,0191798654
ene-83|0,0350563700|0,0066349409|0,0140280000|0,0909090000|0,0284214291|0,0842740591
feb-83|0,0256444200|0,0065147577|-0,0181820000|0,0483090000|0,0191296623|0,0417942423
mar-83|0,0362303000|0,0070809502|-0,0345530000|-0,0244240000|0,0291493498|-0,0315049502
abr-83|0,0757648000|0,0066318413|0,1536840000|0,0654760000|0,0691329587|0,0588441587
may-83|-0,0056413280|0,0070986838|-0,0332120000|-0,0759780000|-0,0127400118|-0,0830766838
jun-83|0,0374626000|0,0071926915|0,1085710000|0,0732770000|0,0302699085|0,0660843085
jul-83|-0,0310879900|0,0075508842|0,0120270000|-0,0931820000|-0,0386388742|-0,1007328842
ago-83|0,0159435200|0,0075769637|-0,0376910000|0,0250630000|0,0083665563|0,0174860363
sep-83|0,0140749100|0,0071364526|0,0480430000|0,0410760000|0,0069384574|0,0339395474
oct-83|-0,0134424800|0,0069636680|0,0526320000|-0,0189570000|-0,0204061480|-0,0259206680
nov-83|0,0237668900|0,0072819864|-0,0483870000|0,1135270000|0,0164849036|0,1062450136
dic-83|-0,0057975670|0,0073435184|0,0223370000|0,0262580000|-0,0131410854|0,0189144816
ene-84|-0,0061616730|0,0072904495|-0,0252100000|-0,0724950000|-0,0134521225|-0,0797854495
feb-84|-0,0332265600|0,0074894914|-0,0327590000|-0,0436780000|-0,0407160514|-0,0511674914
mar-84|0,0172644600|0,0079481738|-0,0596750000|0,0649040000|0,0093162862|0,0569558262
abr-84|0,0065006250|0,0079443545|0,0288460000|0,0113900000|-0,0014437295|0,0034456455
may-84|-0,0526962100|0,0079733768|-0,0504670000|-0,0427930000|-0,0606695868|-0,0507663768
jun-84|0,0224843500|0,0081069135|0,0502010000|-0,0023530000|0,0143774365|-0,0104599135
jul-84|-0,0146504900|0,0084904157|0,0573610000|0,0000000000|-0,0231409057|-0,0084904157
ago-84|0,1130646000|0,0086611055|0,0813740000|0,0785710000|0,1044034945|0,0699098945
sep-84|0,0003536132|0,0082973433|0,0493200000|-0,0066230000|-0,0079437301|-0,0149203433
oct-84|0,0029270060|0,0073773434|0,0388980000|0,0313900000|-0,0044503374|0,0240126566
nov-84|-0,0099581500|0,0069281450|-0,0307730000|-0,0273910000|-0,0168862950|-0,0343191450
dic-84|0,0255543300|0,0064581006|0,0502510000|0,0225730000|0,0190962294|0,0161148994
ene-85|0,0768792100|0,0066171172|0,0606060000|0,1280350000|0,0702620928|0,1214178828
feb-85|0,0140455600|0,0069775645|-0,0285710000|0,0046970000|0,0070679955|-0,0022805645
mar-85|-0,0000804604|0,0067123947|-0,0817610000|-0,0707270000|-0,0067928551|-0,0774393947
abr-85|-0,0035028090|0,0064495602|-0,0736300000|0,0000000000|-0,0099523692|-0,0064495602
may-85|0,0623627200|0,0058763097|0,0776340000|0,0346720000|0,0564864103|0,0287956903
jun-85|0,0160750900|0,0056337794|0,0052360000|0,0206190000|0,0104413106|0,0149852206
jul-85|-0,0028522180|0,0059903111|-0,0173610000|0,0363640000|-0,0088425291|0,0303736889
ago-85|-0,0063542100|0,0058849038|-0,0300350000|-0,0487330000|-0,0122391138|-0,0546179038
sep-85|-0,0327717300|0,0058380170|-0,0055660000|-0,0483610000|-0,0386097470|-0,0541990170
oct-85|0,0448612500|0,0059255195|-0,0037310000|0,0021740000|0,0389357305|-0,0037515195
nov-85|0,0713032300|0,0059005273|0,0692880000|0,1388290000|0,0654027027|0,1329284727
dic-85|0,0476405200|0,0058130009|0,0308380000|0,1174090000|0,0418275191|0,1115959991
ene-86|0,0045801890|0,0057473011|0,0515100000|-0,0257730000|-0,0011671121|-0,0315203011
feb-86|0,0765833500|0,0057871959|0,0675680000|0,1016580000|0,0707961541|0,0958708041
mar-86|0,0559136200|0,0052396671|0,1093250000|0,0129030000|0,0506739529|0,0076633329
abr-86|-0,0128515300|0,0050435487|-0,0724640000|-0,0047770000|-0,0178950787|-0,0098205487
may-86|0,0550327000|0,0052050423|0,0125000000|0,0208000000|0,0498276577|0,0155949577
jun-86|0,0162313800|0,0049473048|-0,0266460000|0,0229470000|0,0112840752|0,0179996952
jul-86|-0,0572873300|0,0047916800|-0,1223830000|-0,0987650000|-0,0620790100|-0,1035566800
ago-86|0,0751108000|0,0042778985|0,0752290000|0,0770550000|0,0708329015|0,0727771015
sep-86|-0,0823570700|0,0043112869|-0,0590280000|-0,0784740000|-0,0866683569|-0,0827852869
oct-86|0,0559300200|0,0043104921|0,0498150000|0,0608700000|0,0516195279|0,0565595079
nov-86|0,0251141500|0,0044653513|0,0421790000|0,0885250000|0,0206487987|0,0840596487
dic-86|-0,0269883000|0,0046943787|-0,0943400000|0,0437350000|-0,0316826787|0,0390406213
ene-87|0,1347552000|0,0046365817|0,1401520000|0,1656980000|0,1301186183|0,1610614183
feb-87|0,0412736000|0,0045137406|0,0083060000|0,0311720000|0,0367598594|0,0266582594
mar-87|0,0274077100|0,0046452931|0,0469010000|0,0206050000|0,0227624169|0,0159597069
abr-87|-0,0087982310|0,0045716154|0,1520000000|-0,0131110000|-0,0133698464|-0,0176826154
may-87|0,0099044000|0,0047015018|-0,0388890000|0,0048310000|0,0052028982|0,0001294982
jun-87|0,0501698100|0,0047434378|-0,0307920000|0,0520190000|0,0454263722|0,0472755622
jul-87|0,0498365300|0,0050183142|0,0756430000|0,0896550000|0,0448182158|0,0846366858
ago-87|0,0383529600|0,0051010889|0,0492260000|0,0548520000|0,0332518711|0,0497509111
sep-87|-0,0219479100|0,0054573456|-0,0978260000|-0,0107200000|-0,0274052556|-0,0161773456
oct-87|-0,2150765000|0,0043669072|-0,2951810000|-0,2296750000|-0,2194434072|-0,2340419072
nov-87|-0,0815598700|0,0045073959|-0,0149570000|-0,1055410000|-0,0860672659|-0,1100483959
dic-87|0,0738867900|0,0047015018|0,0886920000|0,0495580000|0,0691852882|0,0448564982
ene-88|0,0424480400|0,0046690475|0,0712830000|0,0226630000|0,0377789925|0,0179939525
feb-88|0,0468547100|0,0046516282|0,1178710000|0,0083100000|0,0422030818|0,0036583718
mar-88|-0,0299955300|0,0047260328|-0,0121110000|-0,1049450000|-0,0347215628|-0,1096710328
abr-88|0,0107371500|0,0049457261|0,0507880000|0,0000000000|0,0057914239|-0,0049457261
may-88|0,0076525450|0,0053929604|0,0183330000|0,0402480000|0,0022595846|0,0348550396
jun-88|0,0466343300|0,0054165212|0,0665560000|0,0529760000|0,0412178088|0,0475594788
jul-88|-0,0039636010|0,0057308687|0,0000000000|-0,0256410000|-0,0096944697|-0,0313718687
ago-88|-0,0328939000|0,0060144987|-0,0748830000|-0,0555560000|-0,0389083987|-0,0615704987
sep-88|0,0424315300|0,0059731419|0,0291600000|0,0829720000|0,0364583881|0,0769988581
oct-88|0,0272519500|0,0060597355|0,1116670000|0,0057640000|0,0211922145|-0,0002957355
nov-88|-0,0141594100|0,0064371363|0,0254870000|0,0315190000|-0,0205965463|0,0250818637
dic-88|0,0183756000|0,0066558599|-0,0089020000|0,0035560000|0,0117197401|-0,0030998599
ene-89|0,0719234300|0,0068910629|0,0943110000|0,0810060000|0,0650323671|0,0741149371
feb-89|-0,0249920000|0,0071464702|-0,0492480000|-0,0542640000|-0,0321384702|-0,0614104702
mar-89|0,0230053000|0,0072958347|-0,0278180000|-0,0183610000|0,0157094653|-0,0256568347
abr-89|0,0516761100|0,0069041978|0,0000000000|0,0983150000|0,0447719122|0,0914108022
may-89|0,0410476500|0,0070662981|-0,0090360000|0,1176470000|0,0339813519|0,1105807019
jun-89|-0,0056242910|0,0065682781|0,0340560000|-0,0474140000|-0,0121925691|-0,0539822781
jul-89|0,0901572300|0,0064130603|0,0748500000|0,1331720000|0,0837441697|0,1267589397
ago-89|0,0198735600|0,0064883738|0,1086350000|-0,0149570000|0,0133851862|-0,0214453738
sep-89|-0,0040271550|0,0065038947|-0,0484690000|-0,0124080000|-0,0105310497|-0,0189118947
oct-89|-0,0236334600|0,0063936396|-0,0482570000|-0,0199120000|-0,0300270996|-0,0263056396
nov-89|0,0204787300|0,0062474633|0,0056340000|0,1196390000|0,0142312667|0,1133915367
dic-89|0,0226568000|0,0062186671|-0,0370370000|0,0479030000|0,0164381329|0,0416843329
ene-90|-0,0676765000|0,0063687750|-0,0147930000|-0,0348840000|-0,0740452750|-0,0412527750
feb-90|0,0133814500|0,0063928627|0,0960960000|-0,0004820000|0,0069885873|-0,0068748627
mar-90|0,0265884200|0,0064153905|0,0222840000|0,0404860000|0,0201730295|0,0340706095
abr-90|-0,0245042200|0,0064052925|-0,0354220000|-0,0038910000|-0,0309095125|-0,0102962925
may-90|0,0974024000|0,0063757689|0,1158190000|0,0835160000|0,0910266311|0,0771402311
jun-90|-0,0067544460|0,0063672207|-0,0205660000|0,0054450000|-0,0131216667|-0,0009222207
jul-90|-0,0044692280|0,0061680571|-0,0209970000|0,0342960000|-0,0106372851|0,0281279429
ago-90|-0,0908012800|0,0060854638|-0,1313670000|-0,1343810000|-0,0968867438|-0,1404664638
sep-90|-0,0489590200|0,0058841225|-0,0880500000|-0,1133870000|-0,0548431425|-0,1192711225
oct-90|-0,0036148100|0,0058614634|0,0137930000|-0,0458720000|-0,0094762734|-0,0517334634
nov-90|0,0645604700|0,0057871959|0,0136050000|0,0528850000|0,0587732741|0,0470978041
dic-90|0,0279865600|0,0053167390|-0,0582190000|0,0572600000|0,0226698210|0,0519432610
ene-91|0,0449834900|0,0051160592|0,0545450000|0,1154680000|0,0398674308|0,1103519408
feb-91|0,0715531600|0,0049946505|0,1006900000|0,0704690000|0,0665585095|0,0654743495
mar-91|0,0243486700|0,0047505571|-0,0443040000|0,0238970000|0,0195981129|0,0191464429
abr-91|0,0022522210|0,0045636895|-0,0529800000|0,0161580000|-0,0023114685|0,0115943105
may-91|0,0429199600|0,0045795405|0,2174830000|0,0990810000|0,0383404195|0,0945014595
jun-91|-0,0453570900|0,0045874651|-0,0550720000|-0,0420710000|-0,0499445551|-0,0466584651
jul-91|0,0465103100|0,0045803330|-0,0245400000|-0,0101350000|0,0419299770|-0,0147153330
ago-91|0,0238853300|0,0044161425|-0,0339620000|0,0221840000|0,0194691875|0,0177678575
sep-91|-0,0168609200|0,0042357481|-0,0164470000|-0,0666440000|-0,0210966681|-0,0708797481
oct-91|0,0134431000|0,0039999834|-0,0602010000|-0,0054050000|0,0094431166|-0,0094049834
nov-91|-0,0402238300|0,0036139603|-0,1131670000|-0,0615940000|-0,0438377903|-0,0652079603
dic-91|0,1140893000|0,0032118181|-0,0609760000|0,1899610000|0,1108774819|0,1867491819
ene-92|-0,0183624200|0,0031949230|0,1212120000|-0,0163400000|-0,0215573430|-0,0195349230
feb-92|0,0128517000|0,0032689162|0,1706560000|0,0448500000|0,0095827838|0,0415810838
mar-92|-0,0194705900|0,0033685513|-0,0233330000|-0,0295710000|-0,0228391413|-0,0329395513
abr-92|0,0285996100|0,0030797925|0,1331060000|0,0115510000|0,0255198175|0,0084712075
may-92|0,0048400130|0,0030797925|-0,0391570000|-0,0032630000|0,0017602205|-0,0063427925
jun-92|-0,0150297100|0,0029725825|0,1134800000|0,0252050000|-0,0180022925|0,0222324175
jul-92|0,0409095100|0,0026501940|-0,0539770000|-0,0160770000|0,0382593160|-0,0187271940
ago-92|-0,0206107100|0,0026331945|-0,1585590000|-0,0326800000|-0,0232439045|-0,0353131945
sep-92|0,0113391000|0,0022445818|-0,0722020000|0,0654050000|0,0090945182|0,0631604182
oct-92|0,0047957200|0,0024678919|-0,0428020000|-0,0191690000|0,0023278281|-0,0216368919
nov-92|0,0337798000|0,0027238216|0,0552850000|0,0846910000|0,0310559784|0,0819671784
dic-92|0,0133284400|0,0025675955|0,0000000000|0,0345950000|0,0107608445|0,0320274045
ene-93|0,0072820090|0,0024184049|0,1705430000|0,0073100000|0,0048636041|0,0048915951
feb-93|0,0135134700|0,0024597811|-0,0079470000|-0,0232220000|0,0110536889|-0,0256817811
mar-93|0,0211990700|0,0024102897|0,0100670000|0,0669240000|0,0187887803|0,0645137103
abr-93|-0,0245320800|0,0024265193|0,0863790000|0,0168300000|-0,0269585993|0,0144034807
may-93|0,0262608900|0,0025505807|-0,0134560000|0,0234480000|0,0237103093|0,0208974193
jun-93|0,0034660270|0,0025262682|0,1090340000|0,0391370000|0,0009397588|0,0366107318
jul-93|-0,0046334850|0,0025262682|0,0898880000|0,0287210000|-0,0071597532|0,0261947318
ago-93|0,0374422100|0,0025092457|-0,0293810000|-0,0025380000|0,0349329643|-0,0050472457
sep-93|-0,0076545580|0,0024346331|-0,1093330000|-0,0177610000|-0,0100891911|-0,0201956331
oct-93|0,0198508500|0,0025262682|0,1407190000|0,0117340000|0,0173245818|0,0092077318
nov-93|-0,0087120250|0,0026170016|0,1118110000|0,0141750000|-0,0113290266|0,0115579984
dic-93|0,0126445400|0,0025092457|0,0402840000|0,0733930000|0,0101352943|0,0708837543
ene-94|0,0333860200|0,0024678919|0,1161730000|0,0274140000|0,0309181281|0,0249461081
feb-94|-0,0270575600|0,0027981979|-0,0457140000|-0,0220420000|-0,0298557579|-0,0248401979
