DATE|S&P500D|TBILL|GM|GE|rm -rf|ge - rf
may-52|0,0335662000|0,0014574272|0,0419580000|0,0460530000|0,0321087728|0,0445955728
jun-52|0,0478230300|0,0014615276|0,0637810000|0,0670860000|0,0463615024|0,0656244724
jul-52|0,0198305500|0,0015656147|0,0256960000|0,0019880000|0,0182649353|0,0004223853
ago-52|-0,0063466750|0,0015410380|0,0229650000|0,0019840000|-0,0078877130|0,0004429620
sep-52|-0,0180660400|0,0014114906|-0,0103730000|0,0138610000|-0,0194775306|0,0124495094
oct-52|0,0002889575|0,0014820266|0,0188680000|-0,0158100000|-0,0011930691|-0,0172920266
nov-52|0,0610818200|0,0016450343|0,0740740000|0,1285140000|0,0594367857|0,1268689657
dic-52|0,0387282000|0,0016785826|0,0719840000|0,0462630000|0,0370496174|0,0445844174
ene-53|-0,0068449020|0,0016368499|-0,0127040000|-0,0515460000|-0,0084817519|-0,0531828499
feb-53|-0,0073066560|0,0017538167|-0,0110290000|0,0000000000|-0,0090604727|-0,0017538167
mar-53|-0,0222438700|0,0016998507|-0,0471700000|0,0036230000|-0,0239437207|0,0019231493
abr-53|-0,0251276900|0,0018738990|-0,0138610000|0,0273720000|-0,0270015890|0,0254981010
may-53|0,0072092870|0,0018698171|0,0040160000|0,0248670000|0,0053394699|0,0229971829
jun-53|-0,0142110600|0,0016704012|-0,0264230000|-0,0051990000|-0,0158814612|-0,0068694012
jul-53|0,0260652800|0,0017489121|0,0083510000|0,0316900000|0,0243163679|0,0299410879
ago-53|-0,0498145500|0,0016196603|-0,0600410000|-0,0341300000|-0,0514342103|-0,0357496603
sep-53|0,0022174800|0,0012776502|0,0000000000|0,0459360000|0,0009398298|0,0446583498
oct-53|0,0509351700|0,0010513987|0,0852020000|0,1143350000|0,0498837713|0,1132836013
nov-53|0,0236340300|0,0012940829|0,0061980000|0,1087290000|0,0223399471|0,1074349171
dic-53|0,0017997380|0,0011567785|-0,0041750000|-0,0111730000|0,0006429595|-0,0123297785
ene-54|0,0499131900|0,0008419238|0,0587000000|0,0628570000|0,0490712662|0,0620150762
feb-54|0,0160365300|0,0008336669|0,0178220000|0,0793010000|0,0152028631|0,0784673331
mar-54|0,0309378400|0,0008460520|0,0375490000|0,0747200000|0,0300917880|0,0738739480
abr-54|0,0480209600|0,0006576163|0,0647620000|0,1532160000|0,0473633437|0,1525583837
may-54|0,0428165300|0,0005814701|0,0393560000|-0,0476670000|0,0422350599|-0,0482484701
jun-54|0,0024086180|0,0005226616|0,0157070000|0,1859430000|0,0018859564|0,1854203384
jul-54|0,0585620100|0,0006485152|0,1271480000|-0,0434780000|0,0579134948|-0,0441265152
ago-54|-0,0257908300|0,0008460520|-0,0426830000|-0,0568180000|-0,0266368820|-0,0576640520
sep-54|0,0828123000|0,0008212801|0,1677420000|0,0638550000|0,0819910199|0,0630337199
oct-54|-0,0179446000|0,0008336669|-0,0069060000|-0,0371430000|-0,0187782669|-0,0379766669
nov-54|0,0955266400|0,0008675155|0,0417250000|0,0860530000|0,0946591245|0,0851854845
dic-54|0,0539519400|0,0008336669|0,0682130000|0,0306010000|0,0531182731|0,0297673331
ene-55|0,0183312200|0,0009261016|0,0089400000|0,0641710000|0,0174051184|0,0632448984
feb-55|0,0134281800|0,0011353831|-0,0244550000|0,0477390000|0,0122927969|0,0466036169
mar-55|-0,0024924610|0,0011691197|-0,0079580000|-0,0426860000|-0,0036615807|-0,0438551197
abr-55|0,0401082600|0,0013236544|0,0534760000|0,0656570000|0,0387846056|0,0643333456
may-55|0,0063838710|0,0011896846|-0,0063450000|-0,0189570000|0,0051941864|-0,0201466846
jun-55|0,0816740300|0,0012275120|0,1264520000|0,0343000000|0,0804465180|0,0330724880
jul-55|0,0580699400|0,0014615276|0,2520050000|-0,0352940000|0,0566084124|-0,0367555276
ago-55|-0,0006523980|0,0017407370|-0,0530650000|0,0341460000|-0,0023931350|0,0324052630
sep-55|0,0112975700|0,0017824221|0,1143690000|-0,0490570000|0,0095151479|-0,0508394221
oct-55|-0,0303158600|0,0017701638|-0,0552630000|-0,0650000000|-0,0320860238|-0,0667701638
nov-55|0,0878744800|0,0020199081|0,1030640000|0,1497330000|0,0858545719|0,1477130919
dic-55|-0,0003114623|0,0020696119|-0,0463920000|0,0837210000|-0,0023810742|0,0816513881
ene-56|-0,0351372500|0,0019701771|-0,0675680000|-0,0606060000|-0,0371074271|-0,0625761771
feb-56|0,0415969800|0,0019073631|0,0579710000|0,0737330000|0,0396896169|0,0718256369
mar-56|0,0701992100|0,0019032827|0,0304710000|0,1008580000|0,0682959273|0,0989547173
abr-56|-0,0006178335|0,0022275065|-0,0564520000|-0,0314340000|-0,0028453400|-0,0336615065
may-56|-0,0583954100|0,0021404542|-0,0370370000|-0,0709940000|-0,0605358642|-0,0731344542
jun-56|0,0391054000|0,0020027906|0,0778440000|0,0742360000|0,0371026094|0,0722332094
jul-56|0,0513747600|0,0019489720|0,0472220000|0,0471310000|0,0494257880|0,0451820280
ago-56|-0,0320516500|0,0022022943|0,0106100000|-0,0391390000|-0,0342539443|-0,0413412943
sep-56|-0,0446391900|0,0024184049|-0,0132630000|-0,0794300000|-0,0470575949|-0,0818484049
oct-56|0,0063373900|0,0023770098|-0,0161290000|0,0669640000|0,0039603802|0,0645869902
nov-56|0,0019084500|0,0025173520|-0,0382510000|-0,0041840000|-0,0006089020|-0,0067013520
dic-56|0,0324999600|0,0027044091|0,0114940000|0,0210080000|0,0297955509|0,0183035909
ene-57|-0,0405163600|0,0025967565|-0,0823860000|-0,1078840000|-0,0431131165|-0,1104807565
feb-57|-0,0246362700|0,0027205865|-0,0216720000|0,0302330000|-0,0273568565|0,0275124135
mar-57|0,0233438500|0,0024678919|-0,0032050000|0,0609480000|0,0208759581|0,0584801081
abr-57|0,0463135200|0,0025222155|0,0964630000|0,0879830000|0,0437913045|0,0854607845
may-57|0,0379126200|0,0027367610|0,0146630000|0,0532540000|0,0351758590|0,0505172390
jun-57|-0,0016680180|0,0026955103|0,0058480000|0,0337080000|-0,0043635283|0,0310124897
jul-57|0,0104894200|0,0028119347|0,0465120000|0,0182480000|0,0076774853|0,0154360653
ago-57|-0,0485870900|0,0029064202|-0,0277780000|-0,0645160000|-0,0514935102|-0,0674224202
sep-57|-0,0580445600|0,0028604011|-0,0722540000|-0,0708810000|-0,0609049611|-0,0737414011
oct-57|-0,0388671200|0,0029967762|-0,0311530000|0,0041580000|-0,0418638962|0,0011612238
nov-57|0,0223030900|0,0026048551|-0,0643090000|0,0786750000|0,0196982349|0,0760701449
dic-57|-0,0381495900|0,0022852244|-0,0662020000|-0,0479850000|-0,0404348144|-0,0502702244
ene-58|0,0461317600|0,0012192900|0,0373130000|0,0223580000|0,0449124700|0,0211387100
feb-58|-0,0138246500|0,0010472799|-0,0071940000|-0,0417490000|-0,0148719299|-0,0427962799
mar-58|0,0327180500|0,0009005264|0,0330880000|0,0020750000|0,0318175236|0,0011744736
abr-58|0,0331532000|0,0010011357|0,0676160000|-0,0104380000|0,0321520643|-0,0114391357
may-58|0,0213363900|0,0004762505|0,0500000000|0,0084390000|0,0208601395|0,0079627495
jun-58|0,0280325500|0,0006154127|0,0192930000|0,0125520000|0,0274171373|0,0119365873
jul-58|0,0441485800|0,0007494034|0,1072560000|0,0479170000|0,0433991766|0,0471675966
ago-58|0,0174322100|0,0019367360|-0,0056980000|0,0119280000|0,0154954740|0,0099912640
sep-58|0,0513363000|0,0022185611|0,1043480000|0,0451870000|0,0491177389|0,0429684389
oct-58|0,0271159300|0,0021323142|0,0236220000|0,0321970000|0,0249836158|0,0300646858
nov-58|0,0285642800|0,0023225995|0,0051280000|0,0238530000|0,0262416805|0,0215304005
dic-58|0,0542937200|0,0022315724|0,0206190000|0,1308240000|0,0520621476|0,1285924276
ene-59|0,0068571750|0,0022063613|-0,0227270000|-0,0095690000|0,0046508137|-0,0117753613
